id	Chemical_role	Chemical_role_ITA	Reg_no	Product	Company	Issue_date	Authorisation_expiry_date	Revocation_date	Authorization_status	Authorization_status_en	Revocation_reason	Revocation_decision_date	Formulation_code	Formulation_description	Formulation_use	Hazard_mention	Hazard_code	Active_ingredient	CHEBI_confidence	CHEBI_term_label	CHEBI_term	Active_ingredient_content	CH 2	CHT 2	AI 2	CH 3	CHT 3	AI 3	CH 4	CHT 4	AI 4	CH 5	CHT5	AI 5	IP	PFnPO	PFnPE
PESTON:0105241	pesticide product		5241	SIPAFOL L BLU	SIPCAM S.P.A.	1983-02-16		1987-05-26	Revocato	revoked								CAPTAFOL	Good	captafol	CHEBI:81938																
PESTON:0105242	pesticide product		5242	LABIOSEED	LABORATORIO BIOFARMACOTECNICO ITALIANO S.R.L.	1983-02-16		1991-10-25	Revocato	revoked								LINDANE (LINDANO)		_-hexachlorocyclohexane	CHEBI:32888																
PESTON:0105243	pesticide product		5243	SUPRACID S	SYNGENTA ITALIA S.P.A.	1983-02-16		2003-03-14	Revocato	revoked			WP	wettable powder	W			METIDATION		methidathion	CHEBI:34837	19															
PESTON:0105244	pesticide product		5244	TRIVIT	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-02-16		1987-05-26	Revocato	revoked								FOLPET|MANEB|CAPTAFOL	Good|Good|Good	captafol	CHEBI:81938		folpet	CHEBI:82019		maneb	CHEBI:52497										
PESTON:0105245	molluscicide product	MOLLUSCHICIDA	5245	ESCALIM	KOLLANT S.R.L.	1983-02-16	2023-05-31		Ri-registrato	re-registered			RB	bait (ready for use)	B			METALDEHYDE	Good	metaldehyde	CHEBI:81931	5															
PESTON:0105246	herbicide product	DISERBANTE	5246	BETAMYN	PROCHIMAG ITALIA S.R.L.	1983-02-23		2009-01-01	Revocato	revoked			WP	wettable powder	W	irritant	Xi	CHLORIDAZON (AKA PYRAZONE)	Good	chloridazon	CHEBI:81838	67.5															
PESTON:0105247	fungicide product	FUNGICIDA	5247	ACARIE M	ISAGRO S.P.A.	1983-02-23		2015-02-26	Revocato	revoked			WP	wettable powder	W	irritant	Xi	MANCOZEB	Good	mancozeb	CHEBI:52492	60															
PESTON:0105248	pesticide product		5248	LEBAYCID 25	BAYER CROPSCIENCE S.R.L.	1983-02-23		2001-05-21	Revocato	revoked			EC	emulsifiable concentrate	W			FENTHION	Good	fenthion	CHEBI:34761	24															
PESTON:0105249	pesticide product		5249	ENDOSAN DS	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-02-23		1988-11-15	Revocato	revoked								BINAPACRYL	Good	binapacryl	CHEBI:82153																
PESTON:0105250	pesticide product		5250	THIRAM	AGRICO S.R.L.	1983-02-23		2004-07-30	Revocato	revoked			WP	wettable powder	W			THIRAM	Good	thiram	CHEBI:9495	49															
PESTON:0105251	pesticide product		5251	DIEFITAL	ITAL-AGRO S.R.L.	1983-02-23		1988-07-09	Revocato	revoked								CARBOXIN|CAPTAN|8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE	Medium|Medium|Good	carboxin	CHEBI:3405		captan	CHEBI:34608		thiram	CHEBI:9495										
PESTON:0105252	pesticide product		5252	SIMAZIN	ITALCHIMICA	1983-02-23		1989-02-02	Revocato	revoked								SIMAZINE	Good	simazine	CHEBI:27496																
PESTON:0105253	pesticide product		5253	DAZOVAL PS 85	ZAPI INDUSTRIE CHIMICHE S.P.A.	1983-02-23		2004-07-30	Revocato	revoked			DP	dispersible powder	D			DAZOMET	Good	dazomet	CHEBI:75212	85															
PESTON:0105254	pesticide product		5254	STINURON PB 60	NUFARM ITALIA S.R.L.	1983-02-23		2003-07-26	Revocato	revoked			WP	wettable powder	W			NEBURON	Good	Neburon	CHEBI:7491	60															
PESTON:0105255	pesticide product		5255	PRECURAN D	SYNGENTA ITALIA S.P.A.	1983-03-16		1997-11-17	Revocato	revoked			DP	dispersible powder	D			CHLOROTOLURON|TERBUTRYN	Medium|Medium	chlorotoluron	CHEBI:81981	32	terbutryn	CHEBI:44156	18												
PESTON:0105256	pesticide product		5256	SOILEX GRANULARE	BASF AGRO S.P.A.	1983-02-23		1997-03-27	Revocato	revoked								DAZOMET	Good	dazomet	CHEBI:75212																
PESTON:0105257	pesticide product		5257	ADEOCLOR MICROTEC	SIAPA S.R.L.	1983-02-23		2004-07-30	Revocato	revoked			CS	capsule suspension	W			ALACLOR	Good	alachlor	CHEBI:2533	42															
PESTON:0105258	herbicide product	DISERBANTE	5258	DU-CASON 20 SR	SIAPA S.R.L.	1983-02-23		2009-03-18	Revocato	revoked			GR	granule (generic, but defined size range)	D			DICHLOBENIL		2,6-dichlorobenzonitrile	CHEBI:943	20															
PESTON:0105259	pesticide product		5259	DU-DUSIT G	SIAPA S.R.L.	1983-02-23		2003-07-26	Revocato	revoked			GR	granule (generic, but defined size range)	D			BROMACIL|DICHLOBENIL	Medium|Medium	(R)-bromacil	CHEBI:83659	2	bromacil	CHEBI:3177	14												
PESTON:0105260	pesticide product		5260	NEGRAN	SYNGENTA ITALIA S.P.A.	1983-03-16		1997-11-17	Revocato	revoked			DP	dispersible powder	D			CHLOROTOLURON|NEBURON	Medium|Medium	chlorotoluron	CHEBI:81981	31	Neburon	CHEBI:7491	19												
PESTON:0105261	pesticide product		5261	TIKAPPADI S3	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-02-23		1987-03-04	Revocato	revoked								ATRAZINE|DALAPON|DIURON	Good|Medium|Medium	atrazine	CHEBI:15930		diuron	CHEBI:116509		dalapon	CHEBI:81859		N/A								
PESTON:0105262	pesticide product		5262	RADICANTE L	AGRIMARK S.A.S.	1983-03-03		1997-03-05	Revocato	revoked	REVOCA PER MANCATA RISPOSTA A RICHIESTE UFFICIO		AL	any other liquid	M			1-NAPHTHYLACETIC ACID (1-NAA)	Good	1-naphthaleneacetic acid	CHEBI:32918																
PESTON:0105263	pesticide product		5263	LISAMON	DU PONT DE NEMOURS ITALIANA S.R.L.	1983-03-03		2002-12-31	Revocato	revoked			CS	capsule suspension	W			ALACLOR	Good	alachlor	CHEBI:2533	42															
PESTON:0105264	pesticide product		5264	FOLTA-FOL	AGRICA S.R.L.	1983-05-03		1987-05-26	Revocato	revoked								FOLPET|CAPTAFOL	Medium|Medium	folpet	CHEBI:82019		captafol	CHEBI:81938													
PESTON:0105265	pesticide product		5265	DAZOVAL P.S. 98	GUABER S.P.A.	1983-03-03		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	DP	dispersible powder	D			DAZOMET	Good	dazomet	CHEBI:75212	98															
PESTON:0105266	pesticide product		5266	MILBANE 48	SHELL ITALIA S.P.A.	1983-03-03		1997-03-27	Revocato	revoked								CYHEXATIN	Good	cyhexatin	CHEBI:4036																
PESTON:0105267	pesticide product		5267	NEXAGAN EC	SHELL ITALIA S.P.A.	1983-03-03		1991-10-25	Revocato	revoked								BROMOFOS ETILE	Good	Bromofos	CHEBI:82104																
PESTON:0105268	pesticide product		5268	MARISAN SG	SIAPA S.R.L.	1983-03-03		2004-07-30	Revocato	revoked			FU	smoke generator	F			DICLORAN		2,6-dichloro-4-nitroaniline	CHEBI:27864	37															
PESTON:0105269	pesticide product		5269	CONTRALEN	SCAM S.P.A.	1983-03-16		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	WP	wettable powder	W			CHLORIDAZON (AKA PYRAZONE)	Good	chloridazon	CHEBI:81838	69															
PESTON:0105270	pesticide product		5270	DIZAL	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-03-16		1991-07-25	Revocato	revoked								CHLORPROPHAM|DIURON	Medium|Medium	diuron	CHEBI:116509		chlorpropham	CHEBI:34630													
PESTON:0105271	fungicide product	FUNGICIDA	5271	BAVISTIN FL	BASF ITALIA S.P.A.	1983-03-16			Revocato	revoked			SC	suspension concentrate (= flowable concentrate)	W			CARBENDAZIM	Good	carbendazim	CHEBI:3392																
PESTON:0105272	pesticide product		5272	BREK	ISAGRO S.P.A.	1983-03-30		1992-01-07	Revocato	revoked								CHLORIDAZON (AKA PYRAZONE)	Good	chloridazon	CHEBI:81838																
PESTON:0105273	plant growth regulator product	FITOREGOLATORE	5273	ANASTOP	AIFAR S.P.A.	1983-03-16	2011-12-31	2012-07-01	Revocato	revoked			AL	any other liquid	M			1-NAPHTHYLACETIC ACID (1-NAA)	Good	1-naphthaleneacetic acid	CHEBI:32918	6															
PESTON:0105274	pesticide product		5274	DANADIM EC	CHEMINOVA A/S	1983-03-16		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	EC	emulsifiable concentrate	W			DIMETHOATE	Good	dimethoate	CHEBI:34714	36															
PESTON:0105275	pesticide product		5275	PRODATHION 5 GF	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-03-16		1991-05-04	Revocato	revoked								PARATHION	Good	parathion	CHEBI:27928																
PESTON:0105276	pesticide product		5276	SILDRAM GIAVONE	SIAPA S.R.L.	1983-03-16		2004-07-30	Revocato	revoked			GR	granule (generic, but defined size range)	D			MOLINATE	Good	molinate	CHEBI:6964	8															
PESTON:0105277	pesticide product		5277	SILDRY	SILIA S.P.A.	1983-03-30		1988-09-22	Revocato	revoked								PROPIONIC ACID	Good	propionic acid	CHEBI:30768																
PESTON:0105278	pesticide product		5278	SILEPON	SIAPA S.R.L.	1983-03-30		2003-07-26	Revocato	revoked			DP	dispersible powder	D			DALAPON	Good	Dalapon	CHEBI:81859	85															
PESTON:0105279	pesticide product		5279	SILMITRAZ	SILIA S.P.A.	1983-03-30		1986-06-19	Revocato	revoked								AMITRAZ	Good	amitraz	CHEBI:2665																
PESTON:0105280	pesticide product		5280	NITROMIN 50	SHELL ITALIA S.P.A.	1983-03-16		1988-09-22	Revocato	revoked								DNOC		4,6-dinitro-o-cresol	CHEBI:39349																
PESTON:0105281	pesticide product		5281	CRONETON 40 PB	BAYER CROPSCIENCE S.R.L.	1983-03-16		2002-10-31	Revocato	revoked			WP	wettable powder	W			ETHIOFENCARB	Good	ethiofencarb	CHEBI:38483	39															
PESTON:0105282	plant growth regulator product	FITOREGOLATORE	5282	GIBAIFAR	AIFAR S.P.A.	1983-03-16	2022-08-31		Ri-registrato	re-registered			AL	any other liquid	M			GIBBERELLIC ACID	High	Gibberellic acid	CHEBI:86644	2															SI
PESTON:0105283	fungicide product	FUNGICIDA	5283	FINEMAN COMBI L	NEW AGRI S.R.L.	1983-03-16		2007-11-01	Revocato	revoked			SC	suspension concentrate (= flowable concentrate)	W	irritant	Xi	FENARIMOL|SULPHUR (ZOLFO)	Medium|Medium	elemental sulfur	CHEBI:33403	1.5	fenarimol	CHEBI:4998	60												
PESTON:0105284	herbicide product	DISERBANTE	5284	DISERSTI L 25	NUFARM ITALIA S.R.L.	1983-03-30		2006-05-01	Revocato	revoked			SL	soluble concentrate	W			MCPA	Good	MCPA-thioethyl	CHEBI:81929	25															
PESTON:0105285	pesticide product		5285	KILPER BLAU	DU PONT DE NEMOURS ITALIANA S.R.L.	1983-03-30		2002-12-31	Revocato	revoked			WP	wettable powder	W			MANCOZEB|COPPER OXYCHLORIDE	Medium|Medium	copper atom	CHEBI:28694	14	mancozeb	CHEBI:52492	25												
PESTON:0105286	pesticide product		5286	VIDDEN D RAVIT	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-04-15		1985-05-06	Revocato	revoked								1,3-DICHLOROPROPENE	Good	1,3-dichloropropene	CHEBI:18918																
PESTON:0105287	plant growth regulator product	FITOREGOLATORE	5287	FRUGON FA	ARYSTA LIFESCIENCE BENELUX SPRL	1983-03-30	2011-12-31	2012-07-01	Revocato	revoked			SL	soluble concentrate	W			1-NAPHTHYLACETIC ACID (1-NAA)	Good	1-naphthaleneacetic acid	CHEBI:32918	1.6															
PESTON:0105288	pesticide product		5288	KUMULAN	BASF A.G. (AKTIENGESELLSHAFT)	1983-03-16		2002-09-20	Revocato	revoked			WP	wettable powder	W			SULPHUR (ZOLFO)|NITROTHAL	Good|Good	Nitrothal-isopropyl	CHEBI:33403	53	elemental sulfur	CHEBI:33403	17												
PESTON:0105289	herbicide product | nematicide product	DISERBANTE-NEMATOCIDA	5289	NEMATOX	SIAPA S.R.L.	1983-04-11		2008-03-20	Revocato	revoked			FU	smoke generator	F	toxic|dangerous for environment	T|N	1,3-DICHLOROPROPENE	Good	1,3-dichloropropene	CHEBI:18918	92.3															
PESTON:0105290	pesticide product		5290	BACID	NUFARM ITALIA S.R.L.	1983-03-30		2004-07-30	Revocato	revoked			EC	emulsifiable concentrate	W			METIDATION		methidathion	CHEBI:34837	19															
PESTON:0105291	pesticide product		5291	SILSOL 3 GRANULARE	SIAPA S.R.L.	1983-03-30		2001-06-20	Revocato	revoked			GR	granule (generic, but defined size range)	D			LINDANE (LINDANO)		_-hexachlorocyclohexane	CHEBI:32888	3															
PESTON:0105292	plant growth regulator product	FITOREGOLATORE	5292	FIXORMON	NUFARM ITALIA S.R.L.	1983-03-30	2023-12-31		Autorizzato	authorised			AL	any other liquid	M			1-NAPHTHYLACETIC ACID (1-NAA)	Good	1-naphthaleneacetic acid	CHEBI:32918	8															
PESTON:0105293	plant growth regulator product	FITOREGOLATORE	5293	GIBERIL	VALAGRO S.P.A.	1983-03-30		2013-09-01	Revocato	revoked			AL	any other liquid	M			GIBBERELLIC ACID	High	Gibberellic acid	CHEBI:86644	2															
PESTON:0105294	pesticide product		5294	FENOTRIN	ISAGRO S.P.A.	1983-03-30		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	DP	dispersible powder	D			METABENZTIAZURON		Methabenzthiazuron	CHEBI:6803	70															
PESTON:0105295	herbicide product	DISERBANTE	5295	FITONEX	DIACHEM S.P.A.	1983-03-30	2030-12-31		Autorizzato	authorised			EC	emulsifiable concentrate	W	dangerous for environment|irritant	N|Xi	2,4-D	Good	2,4-D	CHEBI:28854	54.2															
PESTON:0105296	pesticide product		5296	QUINTAMON 4 PS	DU PONT DE NEMOURS ITALIANA S.R.L.	1983-03-30		1990-04-07	Revocato	revoked								DICLORAN		2,6-dichloro-4-nitroaniline	CHEBI:27864																
PESTON:0105297	pesticide product		5297	ACARVAL	VALSELE S.P.A.	1983-03-30		1996-12-30	Revocato	revoked	REVOCA PER MANCATO ADEMPIMENTO DM 258/90 E D.L.VO 194/95		AL	any other liquid	M			CHLORFENSON|PROPARGITE	Medium|Medium	Chlorfenson	CHEBI:82155	28	propargite	CHEBI:39300	30												
PESTON:0105298	pesticide product		5298	RASTICANE 77E	DU PONT DE NEMOURS ITALIANA S.R.L.	1983-03-30		2003-07-26	Revocato	revoked	REVOCA ADEMPIMENTO REG. 2076 (NON ISCRIZIONE ALL. I)		AL	any other liquid	M			EPTC	Good	EPTC	CHEBI:4738	77															
PESTON:0105299	insecticide product	INSETTICIDA	5299	MIBIOL	ZAPI INDUSTRIE CHIMICHE S.P.A.	1983-03-30	2021-12-31		Ri-registrato	re-registered			EC	emulsifiable concentrate	W			PARAFFIN OIL/(CAS 8042-47-5)	Medium	castor oil	CHEBI:140618	78.1															SI
PESTON:0105300	pesticide product		5300	DISERBENE ST	SIPCAM S.P.A.	1983-04-15		2003-07-26	Revocato	revoked	REVOCA ADEMPIMENTO REG. 2076 (NON ISCRIZIONE ALL. I)		SC	suspension concentrate (= flowable concentrate)	W			SIMAZINE|TERBUMETON	Medium|Medium	simazine	CHEBI:27496	20	terbumeton	CHEBI:81947	20												
PESTON:0105301	pesticide product		5301	FENASIP FL	SIPCAM S.P.A.	1983-04-30		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	SC	suspension concentrate (= flowable concentrate)	W			FENARIMOL	Good	fenarimol	CHEBI:4998	12															
PESTON:0105302	pesticide product		5302	SEFTAL 50 PB	SEPRAN S.A.S.	1983-03-30		2004-07-30	Revocato	revoked			WP	wettable powder	W			CAPTAN	Good	captan	CHEBI:34608	50															
PESTON:0105303	pesticide product		5303	ORMOSEP COMBI	SEPRAN S.A.S.	1983-03-30		2003-04-01	Revocato	revoked		2003-03-14	EC	emulsifiable concentrate	W			MCPA|2,4-D	Medium|Medium	MCPA-thioethyl	CHEBI:81929	25	2,4-D	CHEBI:28854	31												
PESTON:0105304	pesticide product		5304	ERBIVAL	ITALCHIMICA	1983-03-30		1995-10-16	Revocato	revoked								LINURON	Good	linuron	CHEBI:6482																
PESTON:0105305	pesticide product		5305	MICOSPOR 80	ITALCHIMICA	1983-03-30		1988-07-09	Revocato	revoked								CAPTAN	Good	captan	CHEBI:34608																
PESTON:0105306	pesticide product		5306	DITRAN	SEPRAN S.A.S.	1983-03-16		2004-05-12	Revocato	revoked			AL	any other liquid	M			ATRAZINE|LINURON	Medium|Medium	atrazine	CHEBI:15930	32	linuron	CHEBI:6482	19												
PESTON:0105307	pesticide product		5307	DEROSALIN L	BAYER CROPSCIENCE S.R.L.	1983-03-30		2004-07-30	Revocato	revoked			SC	suspension concentrate (= flowable concentrate)	W			CARBENDAZIM	Good	carbendazim	CHEBI:3392	41															
PESTON:0105308	herbicide product	DISERBANTE	5308	SIACARB 50 L	ISAGRO S.P.A.	1983-04-11		2010-12-31	Revocato	revoked			EC	emulsifiable concentrate	W	harmful	Xn	THIOBENCARB	Good	Thiobencarb	CHEBI:35011	50															
PESTON:0105309	pesticide product		5309	GESAL ORTO ANTICRITTOGAMICO POLVERE BAGNABILE	RECKITT & COLMANN ITALIA S.P.A.	1983-04-15		2001-07-30	Revocato	revoked			WP	wettable powder	W			ZIRAM|SULPHUR (ZOLFO)	Good|Medium	ziram	CHEBI:79736	57	elemental sulfur	CHEBI:33403	25												
PESTON:0105310	pesticide product		5310	ALDICARB-VILCAR DICARB 5 G	AGRICOLTURA ITALIA S.R.L.	1983-04-11		2003-09-18	Revocato	revoked	REVOCA MANCATA ISCRIZIONE ALDICARB ALL. I	2003-09-16	GR	granule (generic, but defined size range)	D			ALDICARB	Good	aldicarb	CHEBI:2555	5															
PESTON:0105311	pesticide product		5311	DICOPUR M	AGROCHIMICA S.P.A.	1983-04-11		1990-02-23	Revocato	revoked								MCPA	Good	MCPA-thioethyl	CHEBI:81929																
PESTON:0105312	pesticide product		5312	TERBULIN	DU PONT DE NEMOURS ITALIANA S.R.L.	1983-04-15		1990-04-07	Revocato	revoked								LINURON|TERBUTRYN	Medium|Medium	linuron	CHEBI:6482		terbutryn	CHEBI:44156													
PESTON:0105313	pesticide product		5313	STINITROL	SIPSA S.R.L.	1983-04-11		1991-07-25	Revocato	revoked								DNOC|PARAFFIN OIL/(CAS 8012-95-1)	Medium|Medium	castor oil	CHEBI:140618		Oil red O	CHEBI:88213													
PESTON:0105314	pesticide product		5314	ANGUICID	SIPCAM S.P.A.	1983-04-15		2008-03-20	Revocato	revoked			VP	vapour releasing product	F			1,3-DICHLOROPROPENE	Good	1,3-dichloropropene	CHEBI:18918	92															
PESTON:0105315	pesticide product		5315	FITOSOL 6	BAYER CROPSCIENCE S.R.L.	1983-04-11		1991-07-25	Revocato	revoked								TRICHLORONAT	Good	Trichloronat	CHEBI:82150																
PESTON:0105316	pesticide product		5316	AS BETA	SIPCAM S.P.A.	1983-04-15		2003-07-26	Revocato	revoked	REVOCA ADEMPIMENTO REG. 2076 (NON ISCRIZIONE ALL. I)		WP	wettable powder	W			CARBARIL|PYRIDAFENTHION		carbaryl	CHEBI:3390	30	pyridaphenthion	CHEBI:38881	15												
PESTON:0105317	pesticide product		5317	FLORTIS DISERBANTE TOTALE	ORVITAL S.P.A.	1983-04-11		1987-03-04	Revocato	revoked								ATRAZINE|SIMAZINE|TCA	Medium|Medium|Good	simazine	CHEBI:27496		atrazine	CHEBI:15930		phosmet	CHEBI:38786										
PESTON:0105318	pesticide product		5318	GESAL DISERBANTE TOTALE	RECKITT & COLMANN ITALIA S.P.A.	1983-04-15		2001-07-30	Revocato	revoked			DP	dispersible powder	D			AMETRYN|SIMAZINE	Medium|Medium	ametryn	CHEBI:22472	9	simazine	CHEBI:27496	48												
PESTON:0105319	pesticide product		5319	ONLY 12 FLOWABLE	CORTEVA AGRISCIENCE ITALIA S.R.L.	1983-04-26		1990-12-27	Revocato	revoked								CYHEXATIN	Good	cyhexatin	CHEBI:4036																
PESTON:0105320	pesticide product		5320	DEROSALIN COMBI	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-05-09		1998-05-19	Revocato	revoked			WP	wettable powder	W			CARBENDAZIM|MANEB	Medium|Medium	carbendazim	CHEBI:3392	6	maneb	CHEBI:52497	50												
PESTON:0105321	pesticide product		5321	DD 92 SCHERING	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-04-26		1991-07-25	Revocato	revoked								1,3-DICHLOROPROPENE	Good	1,3-dichloropropene	CHEBI:18918																
PESTON:0105322	pesticide product		5322	CERATHION 50	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-05-09		1991-05-04	Revocato	revoked								MALATHION	High	malathion	CHEBI:6651																
PESTON:0105323	pesticide product		5323	TAZALON S	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-05-09		1991-05-04	Revocato	revoked								ATRAZINE|SIMAZINE	Medium|Medium	atrazine	CHEBI:15930		simazine	CHEBI:27496													
PESTON:0105324	pesticide product		5324	ANEMAPENE	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-05-09		1985-09-04	Revocato	revoked								1,3-DICHLOROPROPENE|DICLOROPROPANO-1,2	Medium|Medium	(E)-1,3-dichloropropene	CHEBI:18624		1,3-dichloropropene	CHEBI:18918													
PESTON:0105325	fungicide product | nematicide product	INSETTICIDA-ACARICIDA	5325	DIACIT P5	GUABER S.P.A.	1983-04-26		2007-12-06	Revocato	revoked			DP	dispersible powder	D	dangerous for environment	N	DIAZINON	High	diazinon	CHEBI:34682	5															
PESTON:0105326	pesticide product		5326	PROPARGITE 57 E	DOTT. ANTONIO BORACCHINI & C. S.N.C.	1983-04-26	2002-06-26	2000-05-03	Revocato	revoked			EC	emulsifiable concentrate	W			PROPARGITE	Good	propargite	CHEBI:39300	57															
PESTON:0105327	pesticide product		5327	EFFICAN TRIS	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-04-26		2000-11-06	Revocato	revoked			WP	wettable powder	W			CYMOXANIL|MANCOZEB|COPPER OXYCHLORIDE	Medium|Medium|Good	cymoxanil	CHEBI:81788	4	mancozeb	CHEBI:52492	25	propargite	CHEBI:39300	22									
PESTON:0105328	pesticide product		5328	GRANOSAR PB	S.A.R.I.A.F. S.P.A.	1983-04-26		1996-12-02	Revocato	revoked			WP	wettable powder	W			MANCOZEB|SULPHUR (ZOLFO)	Good|Medium	mancozeb	CHEBI:52492		elemental sulfur	CHEBI:33403													
PESTON:0105329	pesticide product		5329	TELONE II	INTERNAZIONALE B.P.D. S.R.L.	1983-05-09		1989-10-18	Revocato	revoked								1,3-DICHLOROPROPENE	Good	1,3-dichloropropene	CHEBI:18918																
PESTON:0105330	plant growth regulator product	FITOREGOLATORE	5330	RADICONE L	BIOLCHIM S.P.A.	1983-04-26	2011-12-31	2012-07-01	Revocato	revoked			AL	any other liquid	M			1-NAPHTHYLACETIC ACID (1-NAA)	Good	1-naphthaleneacetic acid	CHEBI:32918	0.5															
PESTON:0105331	pesticide product		5331	DIFENSAR	GOWAN ITALIA S.R.L.	1983-04-26		2003-07-26	Revocato	revoked			EC	emulsifiable concentrate	W			FENSON|DICOFOL	Medium|Medium	Fenson	CHEBI:82160	30	dicofol	CHEBI:34692	20												
PESTON:0105332	molluscicide product	MOLLUSCHICIDA	5332	LIMATENE	KOLLANT S.R.L.	1983-04-26	2023-05-31		Ri-registrato	re-registered			RB	bait (ready for use)	B			METALDEHYDE	Good	metaldehyde	CHEBI:81931	5															
PESTON:0105333	plant growth regulator product	FITOREGOLATORE	5333	GIBRESOL	NUFARM ITALIA S.R.L.	1983-04-26	2022-08-31		Autorizzato	authorised			AL	any other liquid	M	highly flammable	F	GIBBERELLIC ACID	High	Gibberellic acid	CHEBI:86644	4.9															
PESTON:0105334	pesticide product		5334	CARIESTOP	SCAM S.P.A.	1983-04-26		2000-05-03	Revocato	revoked			DS	powder for dry seed treatment	S			CARBOXIN|THIRAM	Medium|Medium	carboxin	CHEBI:3405	20	thiram	CHEBI:9495	39												
PESTON:0105335	pesticide product		5335	SILDIQUAT	SIAPA S.R.L.	1983-05-05		2002-12-18	Revocato	revoked			SL	soluble concentrate	W			DIQUAT (DIBROMIDE)	Medium	calcium dibromide	CHEBI:31338	10															
PESTON:0105336	fungicide product	FUNGICIDA	5336	CARPENE L	ISAGRO S.P.A.	1983-05-09	2011-12-31	2011-12-01	Revocato	revoked			AL	any other liquid	M	highly flammable	F	DODINE		1-dodecylguanidine acetate	CHEBI:74889	26															
PESTON:0105337	pesticide product		5337	SILGRIN S	SILIA S.P.A.	1983-05-05		1988-12-21	Revocato	revoked								DICAMBA|SIMAZINE	Medium|Medium	dicamba	CHEBI:81856		simazine	CHEBI:27496													
PESTON:0105338	pesticide product		5338	TELONE	AVENTIS CROPSCIENCE ITALIA S.P.A.	1983-05-11		1985-05-06	Revocato	revoked								1,3-DICHLOROPROPENE	Good	1,3-dichloropropene	CHEBI:18918																
PESTON:0105339	pesticide product		5339	CLORMEFOS VERCHIM ASTERIAS CAMPOSAN 5 G	CORTEVA AGRISCIENCE ITALIA S.R.L.	1983-04-26		1986-02-26	Revocato	revoked								CLORMEFOS		chlormephos	CHEBI:38603																
PESTON:0105340	pesticide product		5340	BENTIOR	CORTEVA AGRISCIENCE ITALIA S.R.L.	1983-04-26		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	GR	granule (generic, but defined size range)	D			THIOBENCARB|MOLINATE	Medium|Medium	Thiobencarb	CHEBI:35011	7	molinate	CHEBI:6964	3												
PESTON:0105341	pesticide product		5341	CYXIDE	CORTEVA AGRISCIENCE ITALIA S.R.L.	1983-04-26		1990-11-27	Revocato	revoked								CYHEXATIN|CHLORBENSIDE	Good|Good	cyhexatin	CHEBI:4036		thiophanate-methyl	CHEBI:35014													
PESTON:0105342	pesticide product		5342	TIOFANIL	CORTEVA AGRISCIENCE ITALIA S.R.L.	1983-04-26		1983-11-09	Revocato	revoked								THIOPHANATE-METHYL	Good	thiophanate-methyl	CHEBI:35014																
PESTON:0105343	molluscicide product	MOLLUSCHICIDA	5343	LIMASANEX	KOLLANT S.R.L.	1983-04-26	2023-05-31		Ri-registrato	re-registered			RB	bait (ready for use)	B			METALDEHYDE	Good	metaldehyde	CHEBI:81931	5															
PESTON:0105344	plant growth regulator product	FITOREGOLATORE	5344	RADICANTE POLVERE TALEE ERBACEE	BIOLCHIM S.P.A.	1983-04-26	2011-12-31	2012-07-01	Revocato	revoked			DP	dispersible powder	D			1-NAPHTHYLACETIC ACID (1-NAA)	Good	1-naphthaleneacetic acid	CHEBI:32918	0.6															
PESTON:0105345	pesticide product		5345	MALATION 50 AZF	AGROZOOFARMA S.R.L.	1983-04-26		1992-01-07	Revocato	revoked			EC	emulsifiable concentrate	W			MALATHION	High	malathion	CHEBI:6651																
PESTON:0105346	insecticide product	INSETTICIDA	5346	OYLIR	KOLLANT S.R.L.	1983-04-26	2021-12-31		Autorizzato	authorised			EC	emulsifiable concentrate	W			PARAFFIN OIL/(CAS 97862-82-3)	Medium	essential oil	CHEBI:83630	80															
PESTON:0105347	pesticide product		5347	SIPAFOL COMBI R BLU	SIPCAM S.P.A.	1983-04-26		1987-05-26	Revocato	revoked								FOLPET|CAPTAFOL	Medium|Medium	folpet	CHEBI:82019		captafol	CHEBI:81938													
